"","taxon","mean_biom","percent_0"
"1","Rhizaria",0.706010760293742,9.87179487179487
"2","Copepoda",0.856230956035852,12.1794871794872
"3","Phaeodaria",0.266327479364873,14.7435897435897
"4","Copepoda_refit",0.591964486995918,32.3076923076923
"5","Eumalacostraca",1.20015221855131,48.0769230769231
"6","Cnidaria",0.222629064502968,55.6410256410256
"7","Rhizaria_others",0.00854268382847933,56.6666666666667
"8","Foraminifera",0.309990670138447,58.5897435897436
"9","Chaetognatha",0.111855618400717,67.4358974358974
"10","Hydrozoa_others",0.00648022431200535,67.948717948718
"11","Crustacea_others",0.158572348031876,69.8717948717949
"12","Collodaria_others",0.120168205984072,70.1282051282051
"13","Acantharea",0.000297369718130326,72.4358974358974
"14","Ostracoda",0.021587551230018,72.5641025641026
"15","Appendicularia",0.350250399206105,79.1025641025641
"16","Siphonophorae",0.157495131555788,92.948717948718
